fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 193430	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.485523743740967	0.891458603698618	937	408	9733	23300850.0749625	15
20240513 194625	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0845746604705996	0.579978566921908	201	732	8576	30061565.2173913	16
20240513 201054	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.023862096983368	0.703620756823157	1043	1469	8522	31335289.3553223	17
20240513 204043	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201164678825276	0.726141309585509	1416	1504	8672	31528527.7361319	18
20240513 205450	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0826304430463226	0.684844088420463	367	2000	7355	30266934.0329835	19
20240513 211422	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1747	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200739432342531	0.78253927619038	13	1096	10376	31467802.0989505	20
20240513 215150	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201001936529261	0.76155581511652	1451	1013	8343	30597626.6866567	21
20240513 221458	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2348	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200929303749761	0.681913366662534	10	1395	9834	31262677.6611694	22
20240513 225026	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200065304730306	0.633324294419145	1861	1549	7146	31203979.0104948	23
20240513 231620	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200491329215767	0.621103966317474	1401	1675	8821	31259278.8605697	24
20240513 233643	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2361	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0574718332077232	0.767999161520053	8	1432	8643	31701224.8875562	25
20240514 001459	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4316	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200599221015123	0.807158137795654	13	1568	9661	31547314.8425787	26
20240514 003939	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2780	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0211909461583656	0.758541797878326	8	100	10096	31171850.0749625	27
20240514 005232	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0310865939510312	0.753694840158354	207	1468	9595	31970202.3988006	28
20240514 010512	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0417626427762683	0.899562308741485	302	1458	8780	31071094.4527736	29
